wi,wh,num connections,train time(us),train mse,test time(us),test mse
000000110,110,4,0:00:07.265053,67.9822766002,0:00:00.032420,7.14788819466
000000111,001,4,0:00:05.782476,67.9958922381,0:00:00.019358,7.1495053053
000000111,010,4,0:00:07.028411,67.9958922166,0:00:00.002775,7.1495051054
000001000,000,1,0:00:03.503539,120.144371772,0:00:00.002639,12.564379617
000000111,101,5,0:00:05.597968,67.982567716,0:00:00.399054,7.14791913021
000000111,011,5,0:00:07.510033,67.9821834648,0:00:00.249077,7.14787850136
000000111,100,4,0:00:07.263394,67.9958922224,0:00:00.002875,7.1495051592
000000111,110,5,0:00:06.431782,67.9825262726,0:00:00.002737,7.14791468791
000000111,111,6,0:00:06.154250,67.9764280286,0:00:00.002846,7.14737417517
000001000,001,2,0:00:06.866771,104.881163048,0:00:00.133621,10.8003371995
000001000,010,2,0:00:07.323953,120.144371772,0:00:00.016903,12.564379617
000001000,111,4,0:00:04.142670,104.881163048,0:00:00.062885,10.8003371995
000001000,100,2,0:00:05.773447,120.144371772,0:00:00.002874,12.564379617000001000,011,3,0:00:06.712974,104.881163048,0:00:00.028845,10.8003371995

000001000,110,3,0:00:06.623515,120.144371772,0:00:00.002871,12.564379617
000001001,001,3,0:00:06.472761,69.0223596639,0:00:00.002878,7.17130125662
000001000,101,3,0:00:08.070676,104.881163048,0:00:00.002810,10.8003371995
000001001,010,3,0:00:06.016811,120.144371772,0:00:00.002771,12.564379617
000001001,000,2,0:00:07.720402,120.144371772,0:00:00.002843,12.564379617
000001001,011,4,0:00:06.992810,68.6692148203,0:00:00.002853,7.17328427586
000001001,100,3,0:00:06.067209,120.144371772,0:00:00.014815,12.564379617
000001001,101,4,0:00:05.931588,68.4883309675,0:00:00.002867,7.17257377433
000001001,110,4,0:00:06.384776,120.144371772,0:00:00.002867,12.564379617
000001010,000,2,0:00:05.936297,120.144371772,0:00:00.010322,12.564379617
000001001,111,5,0:00:08.197383,68.2199027877,0:00:00.002811,7.16961160511
000001010,011,4,0:00:06.290467,67.9320500283,0:00:00.002919,7.15211208765
000001010,001,3,0:00:07.436472,104.881163048,0:00:00.002799,10.8003371995
