"wi","wh","num connections","train time(us)","train mse","test time(us)","test mse"
"011101100","001",6,00:02:50.60,0.01,00:00:07.41,0.017184488048
"101101110","001",7,00:02:42.44,0.01,00:00:08.95,0.017184556898
"010110100","010",5,00:02:39.05,0.01,00:00:06.63,0.017184635573
"100110010","100",5,00:02:38.49,0.01,00:00:03.65,0.017184669444
"111110001","010",7,00:03:05.85,0.01,00:00:06.01,0.017184986351
"001011100","001",5,00:02:57.95,0.01,00:00:05.02,0.017185016688
"011011110","001",7,00:02:48.56,0.01,00:00:05.08,0.017185219989
"010010001","110",5,00:02:40.05,0.01,00:00:06.24,0.017185258704
"011010001","010",5,00:02:36.33,0.01,00:00:05.67,0.017185269803
"110011001","010",6,00:02:40.39,0.01,00:00:06.78,0.017185309113
"011111100","001",7,00:02:54.95,0.01,00:00:07.63,0.017185316316
"101001100","001",5,00:02:44.26,0.01,00:00:05.80,0.017185340714
"110010100","010",5,00:02:38.99,0.01,00:00:06.60,0.017185428481
"001011000","101",5,00:02:27.74,0.01,00:00:03.53,0.017185514739
"100011010","111",7,00:02:50.71,0.01,00:00:02.65,0.017185588148
"010011001","010",5,00:02:41.08,0.01,00:00:04.36,0.017185672572
"010101101","110",7,00:02:51.97,0.01,00:00:05.66,0.017185806568
"111111010","100",8,00:02:40.64,0.01,00:00:07.49,0.017185866533
"011011001","010",6,00:02:55.20,0.01,00:00:06.20,0.017185915125
"111011001","010",7,00:02:34.37,0.01,00:00:06.55,0.017185960278
"101001010","001",5,00:02:47.79,0.01,00:00:05.98,0.017185962366
"011011010","001",6,00:02:10.91,0.01,00:00:04.25,0.017186065910
"111111100","010",8,00:02:47.15,0.01,00:00:05.29,0.017186164557
"101001100","011",6,00:02:48.42,0.01,00:00:06.18,0.017186183262
"001101000","011",5,00:02:47.24,0.01,00:00:04.37,0.017186193300
"111101010","001",7,00:02:33.93,0.01,00:00:05.25,0.017186259028
"111100011","100",7,00:02:51.79,0.01,00:00:03.01,0.017186349570
